"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2020","5,712.65","5,712.65","5,712.65","5,712.65","","2.30%"
"04/21/2020","5,584.44","5,584.44","5,584.44","5,584.44","","-3.06%"
"04/20/2020","5,761.00","5,761.00","5,761.00","5,761.00","","-1.79%"
"04/17/2020","5,865.90","5,865.90","5,865.90","5,865.90","","2.68%"
"04/16/2020","5,712.60","5,712.60","5,712.60","5,712.60","","0.58%"
"04/15/2020","5,679.53","5,679.53","5,679.53","5,679.53","","-2.20%"
"04/14/2020","5,807.10","5,807.10","5,807.10","5,807.10","","3.07%"
"04/13/2020","5,634.15","5,634.15","5,634.15","5,634.15","","-1.01%"
"04/09/2020","5,691.54","5,691.54","5,691.54","5,691.54","","1.46%"
"04/08/2020","5,609.55","5,609.55","5,609.55","5,609.55","","3.43%"
"04/07/2020","5,423.52","5,423.52","5,423.52","5,423.52","","-0.16%"
"04/06/2020","5,432.17","5,432.17","5,432.17","5,432.17","","7.03%"
"04/03/2020","5,075.16","5,075.16","5,075.16","5,075.16","","-1.50%"
"04/02/2020","5,152.47","5,152.47","5,152.47","5,152.47","","2.30%"
"04/01/2020","5,036.64","5,036.64","5,036.64","5,036.64","","-4.41%"
"03/31/2020","5,269.20","5,269.20","5,269.20","5,269.20","","-1.59%"
"03/30/2020","5,354.39","5,354.39","5,354.39","5,354.39","","3.37%"
"03/27/2020","5,179.92","5,179.92","5,179.92","5,179.92","","-3.37%"
"03/26/2020","5,360.49","5,360.49","5,360.49","5,360.49","","6.25%"
"03/25/2020","5,045.35","5,045.35","5,045.35","5,045.35","","1.15%"
"03/24/2020","4,987.80","4,987.80","4,987.80","4,987.80","","9.39%"
"03/23/2020","4,559.50","4,559.50","4,559.50","4,559.50","","-2.93%"
"03/20/2020","4,697.09","4,697.09","4,697.09","4,697.09","","-4.32%"
"03/19/2020","4,909.13","4,909.13","4,909.13","4,909.13","","0.48%"
"03/18/2020","4,885.76","4,885.76","4,885.76","4,885.76","","-5.18%"
"03/17/2020","5,152.83","5,152.83","5,152.83","5,152.83","","6.00%"
"03/16/2020","4,861.22","4,861.22","4,861.22","4,861.22","","-11.98%"
"03/13/2020","5,522.85","5,522.85","5,522.85","5,522.85","","9.32%"
"03/12/2020","5,051.97","5,051.97","5,051.97","5,051.97","","-9.49%"
"03/11/2020","5,581.76","5,581.76","5,581.76","5,581.76","","-4.88%"
"03/10/2020","5,868.11","5,868.11","5,868.11","5,868.11","","4.94%"
"03/09/2020","5,591.74","5,591.74","5,591.74","5,591.74","","-7.59%"
"03/06/2020","6,050.80","6,050.80","6,050.80","6,050.80","","-1.70%"
"03/05/2020","6,155.58","6,155.58","6,155.58","6,155.58","","-3.37%"
"03/04/2020","6,370.35","6,370.35","6,370.35","6,370.35","","4.23%"
"03/03/2020","6,112.07","6,112.07","6,112.07","6,112.07","","-2.81%"
"03/02/2020","6,288.64","6,288.64","6,288.64","6,288.64","","4.61%"
"02/28/2020","6,011.73","6,011.73","6,011.73","6,011.73","","-0.81%"
"02/27/2020","6,060.67","6,060.67","6,060.67","6,060.67","","-4.40%"
"02/26/2020","6,339.38","6,339.38","6,339.38","6,339.38","","-0.38%"
"02/25/2020","6,363.37","6,363.37","6,363.37","6,363.37","","-3.03%"
"02/24/2020","6,561.94","6,561.94","6,561.94","6,561.94","","-3.34%"
"02/21/2020","6,788.60","6,788.60","6,788.60","6,788.60","","-1.05%"
"02/20/2020","6,860.52","6,860.52","6,860.52","6,860.52","","-0.38%"
"02/19/2020","6,886.47","6,886.47","6,886.47","6,886.47","","0.49%"
"02/18/2020","6,853.04","6,853.04","6,853.04","6,853.04","","-0.29%"
"02/14/2020","6,872.68","6,872.68","6,872.68","6,872.68","","0.20%"
"02/13/2020","6,858.92","6,858.92","6,858.92","6,858.92","","-0.13%"
"02/12/2020","6,867.92","6,867.92","6,867.92","6,867.92","","0.65%"
"02/11/2020","6,823.59","6,823.59","6,823.59","6,823.59","","0.17%"
"02/10/2020","6,811.83","6,811.83","6,811.83","6,811.83","","0.75%"
"02/07/2020","6,761.26","6,761.26","6,761.26","6,761.26","","-0.52%"
"02/06/2020","6,796.64","6,796.64","6,796.64","6,796.64","","0.35%"
"02/05/2020","6,772.98","6,772.98","6,772.98","6,772.98","","1.13%"
"02/04/2020","6,697.49","6,697.49","6,697.49","6,697.49","","1.50%"
"02/03/2020","6,598.63","6,598.63","6,598.63","6,598.63","","0.73%"
"01/31/2020","6,551.00","6,551.00","6,551.00","6,551.00","","-1.76%"
"01/30/2020","6,668.52","6,668.52","6,668.52","6,668.52","","0.33%"
"01/29/2020","6,646.69","6,646.69","6,646.69","6,646.69","","-0.08%"
"01/28/2020","6,652.30","6,652.30","6,652.30","6,652.30","","1.01%"
"01/27/2020","6,585.95","6,585.95","6,585.95","6,585.95","","-1.57%"
"01/24/2020","6,691.22","6,691.22","6,691.22","6,691.22","","-0.90%"
"01/23/2020","6,752.09","6,752.09","6,752.09","6,752.09","","0.12%"
"01/22/2020","6,743.90","6,743.90","6,743.90","6,743.90","","0.03%"
"01/21/2020","6,741.71","6,741.71","6,741.71","6,741.71","","-0.26%"
"01/17/2020","6,759.51","6,759.51","6,759.51","6,759.51","","0.39%"
"01/16/2020","6,733.35","6,733.35","6,733.35","6,733.35","","0.84%"
"01/15/2020","6,677.25","6,677.25","6,677.25","6,677.25","","0.19%"
"01/14/2020","6,664.66","6,664.66","6,664.66","6,664.66","","-0.14%"
"01/13/2020","6,674.13","6,674.13","6,674.13","6,674.13","","0.70%"
"01/10/2020","6,627.87","6,627.87","6,627.87","6,627.87","","-0.29%"
"01/09/2020","6,646.84","6,646.84","6,646.84","6,646.84","","0.69%"
"01/08/2020","6,601.15","6,601.15","6,601.15","6,601.15","","0.49%"
"01/07/2020","6,568.74","6,568.74","6,568.74","6,568.74","","-0.27%"
"01/06/2020","6,586.54","6,586.54","6,586.54","6,586.54","","0.35%"
"01/03/2020","6,563.32","6,563.32","6,563.32","6,563.32","","-0.70%"
"01/02/2020","6,609.29","6,609.29","6,609.29","6,609.29","","0.85%"
"12/31/2019","6,553.57","6,553.57","6,553.57","6,553.57","","0.30%"
"12/30/2019","6,533.91","6,533.91","6,533.91","6,533.91","","-0.57%"
"12/27/2019","6,571.03","6,571.03","6,571.03","6,571.03","","0.00%"
"12/26/2019","6,570.71","6,570.71","6,570.71","6,570.71","","0.52%"
"12/24/2019","6,536.58","6,536.58","6,536.58","6,536.58","","-0.01%"
"12/23/2019","6,537.40","6,537.40","6,537.40","6,537.40","","0.09%"
"12/20/2019","6,531.75","6,531.75","6,531.75","6,531.75","","0.50%"
"12/19/2019","6,499.26","6,499.26","6,499.26","6,499.26","","0.45%"
